"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;421117;"Chinakohl 421117";;"Holzer";"Österreich";"500 g";0,85;10;;10;;;"Salat"
;421118;"Chinakohl 421118";;"Holzer";"Österreich";"500 g";0,9;10;;5;;;"Salat"
;421039;"Vogerlsalat 421039";;"Holzer";"Österreich";"1 kg";15,4;10;;1;;;"Salat"
;421040;"Vogerlsalat 421040";;"Holzer";"Österreich";"1 kg";16,2;10;;1;;;"Salat"
;421321;"Vogerlsalat 421321";;"Holzer";"Österreich";"1 Tasse";1,85;10;;4;;;"Salat"
;421322;"Vogerlsalat 421322";;"Holzer";"Österreich";"1 Tasse";1,95;10;;2;;;"Salat"
;421318;"Winterportulak 421318";;"Holzer";"Österreich";"1 Tasse";1,7;10;;4;;;"Salat"
;421319;"Winterportulak 421319";;"Holzer";"Österreich";"1 Tasse";1,8;10;;2;;;"Salat"
;421027;"Zuckerhut 421027";;"Holzer";"Österreich";"500 g";1,4;10;;10;;;"Salat"
;421028;"Zuckerhut 421028";;"Holzer";"Österreich";"500 g";1,5;10;;5;;;"Salat"
;423092;"Chinakohl 423092";;"Lamm";"Österreich";"500 g";0,8;10;;12;;;"Salat"
;423093;"Chinakohl 423093";;"Lamm";"Österreich";"500 g";0,85;10;;6;;;"Salat"
;423021;"Zuckerhut 423021";;"Lamm";"Österreich";"500 g";0,95;10;;12;;;"Salat"
;423022;"Zuckerhut 423022";;"Lamm";"Österreich";"500 g";1;10;;6;;;"Salat"
;409105;"Zuckerhut 409105";;"Nachbars";"Österreich";"500 g";1,15;10;;16;;;"Salat"
;409106;"Zuckerhut 409106";;"Nachbars";"Österreich";"500 g";1,2;10;;8;;;"Salat"
;430050;"Eichblatt rot 430050";;"Achleitner";"Österreich";"1 Stk.";1,65;10;;12;;;"Salat"
;301776;"Salat Mischkiste saisonal 301776";;"Lutz";"Österreich";"1 Stk.";2,25;10;;9;;;"Salat"
;430110;"Kresse 430110";;"Achleitner";"Österreich";"1 Tasse";0,6;10;;9;;;"Kräuterbund"
;444169;"Kresse 444169";;"Biohandel";"Österreich";"1 Tasse";0,6;10;;9;;;"Kräuterbund"
;444170;"Kresse 444170";;"Biohandel";"Österreich";"1 Tasse";0,7;10;;4;;;"Kräuterbund"
;430726;"Brokkolisprossen 430726";;"Achleitner";"Österreich";"1 Tasse";1;10;;9;;;"Sprossen"
;430628;"Zuckermais vorgegart 430628";;"Achleitner";"Österreich";"1 Pkg.";2,95;10;;8;;;"Weiteres"
;424001;"Shiitake 424001";;"Berner";"Österreich";"1 kg";17,5;10;;1;;;"Pilze"
;424002;"Shiitake 424002";;"Berner";"Österreich";"1 Pkg.";9,2;10;;1;;;"Pilze"
;425003;"Champignon braun 425003";;"Holzinger";"Österreich";"1 Tasse";8,95;10;;1;;;"Pilze"
;425002;"Champignon braun 425002";;"Holzinger";"Österreich";"1 Tasse";8,55;10;;2;;;"Pilze"
;425001;"Champignon braun 425001";;"Holzinger";"Österreich";"1 Tasse";8,15;10;;4;;;"Pilze"
;425005;"Champignon braun 425005";;"Holzinger";"Österreich";"1 Tasse";1,7;10;;12;;;"Pilze"
;425006;"Champignon braun 425006";;"Holzinger";"Österreich";"1 Tasse";1,8;10;;6;;;"Pilze"
;425007;"Champignon braun 425007";;"Holzinger";"Österreich";"1 Tasse";1,85;10;;3;;;"Pilze"
;131001;"Zwiebel gelb 131001";;"Broschek";"Österreich";"1 kg";1,35;10;;10;;;"Zwiebel"
;131002;"Zwiebel gelb 131002";;"Broschek";"Österreich";"1 kg";1,4;10;;5;;;"Zwiebel"
;131025;"Zwiebel gelb gross 131025";;"Broschek";"Österreich";"1 kg";1,3;10;;10;;;"Zwiebel"
;131026;"Zwiebel gelb gross 131026";;"Broschek";"Österreich";"1 kg";1,35;10;;5;;;"Zwiebel"
;131011;"Zwiebel rot 131011";;"Broschek";"Österreich";"1 kg";1,4;10;;10;;;"Zwiebel"
;131012;"Zwiebel rot 131012";;"Broschek";"Österreich";"1 kg";1,5;10;;5;;;"Zwiebel"
;426329;"Porree 426329";;"Fuchsloch";"Waldviertel";"1 Sk.";1,75;10;;8;;;"Zwiebel"
;426330;"Porree 426330";;"Fuchsloch";"Waldviertel";"1 Sk.";1,95;10;;4;;;"Zwiebel"
;426313;"Zwiebel gelb 426313";;"Fuchsloch";"Waldviertel";"1 kg";1,55;10;;10;;;"Zwiebel"
